filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
00000000.wav,0.5649424195289612,0.0037587806582450867,1650.4117037111512,1771.0053832783822,3525.4250086100637,0.08814439530162413,-443.7345275878906,157.79237365722656,-55.76459503173828,59.344017028808594,-31.103466033935547,49.06797790527344,-12.042250633239746,23.966339111328125,-16.51173210144043,4.357033729553223,7.149106979370117,1.6916900873184204,3.3833582401275635,-17.08811378479004,17.085357666015625,-1.196717619895935,15.05752182006836,-10.552897453308105,1.3859601020812988,-0.40150362253189087,normal
00000001.wav,0.6031977534294128,0.0037100636400282383,1627.9004082327294,1741.3805289330294,3411.189117785673,0.08821350239269142,-442.3590393066406,164.47740173339844,-60.8780403137207,59.971378326416016,-34.301334381103516,50.994590759277344,-15.091079711914062,24.79143714904785,-16.932973861694336,5.028979778289795,4.2842583656311035,1.0658560991287231,5.770782947540283,-17.850963592529297,16.131486892700195,-3.083589553833008,15.846394538879395,-10.069618225097656,3.0176093578338623,-1.2435883283615112,normal
00000002.wav,0.5635737180709839,0.00371360732242465,1621.2843075955077,1752.8988054476404,3469.4936376160094,0.08742840052204176,-440.8710021972656,165.9064178466797,-59.75710678100586,61.40834426879883,-35.59669876098633,49.6795654296875,-18.999170303344727,22.333608627319336,-17.73616600036621,5.066519737243652,3.985973596572876,0.8120824694633484,4.432590007781982,-17.630327224731445,15.83238697052002,-5.085057258605957,15.77138900756836,-9.583757400512695,2.987138032913208,-2.371622085571289,normal
00000003.wav,0.434104323387146,0.0036377881187945604,1729.6414200796764,1814.41124321808,3708.0075859193735,0.09402189675174014,-441.20281982421875,163.04811096191406,-61.597999572753906,62.3627815246582,-42.64262008666992,48.502437591552734,-23.58474349975586,25.385122299194336,-16.072912216186523,9.626860618591309,7.832019805908203,2.35681414604187,4.352259159088135,-19.97079086303711,14.210624694824219,-8.938570976257324,14.000811576843262,-11.044196128845215,7.857356071472168,3.0402543544769287,normal
00000004.wav,0.619259774684906,0.0036325131077319384,1605.2386139093471,1752.6219283986109,3458.7270360535094,0.08652094511310905,-440.9585266113281,162.96632385253906,-54.4295768737793,55.35107421875,-34.36817932128906,46.46705627441406,-17.868865966796875,19.162155151367188,-15.183893203735352,5.501689910888672,5.131361484527588,0.9727813601493835,4.6096272468566895,-15.947053909301758,15.347597122192383,-3.720778226852417,14.079498291015625,-9.756321907043457,3.837564706802368,1.521649956703186,normal
00000005.wav,0.4829157292842865,0.003441551234573126,1727.200038234304,1795.3523497829551,3636.4384131199245,0.09687907845127611,-444.5228271484375,162.33767700195312,-61.72768020629883,57.95399475097656,-40.831268310546875,50.049705505371094,-18.589916229248047,25.996524810791016,-17.920204162597656,5.856778621673584,5.903449535369873,4.171384811401367,8.674985885620117,-14.188746452331543,17.4943790435791,-8.16578483581543,12.575201034545898,-13.924872398376465,3.8447959423065186,1.3789030313491821,normal
00000006.wav,0.441190630197525,0.0034539580810815096,1709.740080226058,1761.2352319422891,3509.962070403132,0.09953460339327146,-443.92999267578125,164.370361328125,-63.83256912231445,56.6037712097168,-42.38007354736328,46.48979568481445,-20.43861961364746,25.763912200927734,-19.056203842163086,6.115670680999756,6.959750175476074,6.199963092803955,9.0374755859375,-15.99797248840332,16.183012008666992,-8.747427940368652,13.23725700378418,-10.763898849487305,7.073788642883301,2.145681619644165,normal
00000007.wav,0.5554571151733398,0.0036825421266257763,1744.126072796698,1808.8224178900857,3709.1067285382833,0.09519218568735499,-440.36590576171875,158.97125244140625,-60.54750061035156,64.39663696289062,-36.76030349731445,52.02362060546875,-15.15573787689209,24.554027557373047,-18.987985610961914,5.359866142272949,4.915194988250732,1.653939962387085,5.641656875610352,-18.17203140258789,15.979511260986328,-4.280148983001709,16.40950584411621,-9.964476585388184,2.983363628387451,-2.022021770477295,normal
00000008.wav,0.5342951416969299,0.0037151046562939882,1673.7089466037826,1792.3432386399174,3590.7490528929816,0.08877655524941995,-443.1869812011719,160.8813018798828,-56.65902328491211,64.74156188964844,-34.25935363769531,50.027198791503906,-16.188013076782227,23.405519485473633,-18.50282096862793,3.8121261596679688,3.170738697052002,-1.5135713815689087,3.977673292160034,-19.61693572998047,14.159635543823242,-3.751767873764038,15.886333465576172,-10.732970237731934,0.9022380113601685,-1.4613062143325806,normal
00000009.wav,0.5519582629203796,0.0037745132576674223,1672.9472103103687,1769.255324979284,3558.6990533461426,0.09012357707366589,-439.8389892578125,157.7097625732422,-57.3294792175293,61.569252014160156,-30.761152267456055,47.06317901611328,-15.538091659545898,21.97380256652832,-14.225264549255371,5.819086074829102,4.186077117919922,0.16036716103553772,5.15844202041626,-15.897899627685547,15.441924095153809,-4.130606651306152,14.268929481506348,-9.687027931213379,1.7673473358154297,-0.8086430430412292,normal
